Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/get-online-features,1343,5,140.0,176.46698736708856,32.05724999999404,1347.8274579999975,3812.921072226359,67.12269437378043,0.24989834092993457,140,180,200,250,330,400,470,520,690,1300,1300
,Aggregated,1343,5,140.0,176.46698736708856,32.05724999999404,1347.8274579999975,3812.921072226359,67.12269437378043,0.24989834092993457,140,180,200,250,330,400,470,520,690,1300,1300
